model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
5,2017,10998,1,13548.0,4,0,65.7,1.0
14,2019,22998,0,7337.0,2,140,47.1,2.0
5,2015,8498,1,6649.0,4,125,54.3,1.2
6,2017,11998,1,7690.0,4,150,60.1,1.0
5,2019,11898,1,3396.0,4,150,48.7,1.1
5,2019,11498,1,15766.0,4,145,58.9,1.0
5,2019,13298,1,7349.0,4,145,58.9,1.0
1,2016,9698,1,36860.0,0,20,68.9,1.5
2,2018,10498,1,59498.0,0,145,68.9,1.5
13,2015,10998,1,17367.0,0,125,60.1,2.0
5,2017,9598,1,14403.0,4,145,64.2,1.1
6,2019,16998,1,20647.0,4,145,60.1,1.0
5,2019,13498,1,13351.0,4,145,58.9,1.0
5,2016,6998,1,34804.0,4,125,54.3,1.2
13,2017,15498,1,38113.0,0,125,60.1,2.0
5,2018,9949,1,27399.0,4,145,64.2,1.1
1,2018,12998,1,2455.0,0,145,68.9,1.5
3,2016,20799,0,52000.0,0,200,47.9,2.0
15,2020,38489,0,3500.0,4,145,30.7,2.3
5,2018,9489,1,35417.0,4,145,64.2,1.1
5,2019,13949,2,11982.0,4,145,48.7,1.0
5,2018,10990,1,28138.0,4,145,56.5,1.0
13,2017,13489,1,34805.0,0,145,54.3,2.0
6,2015,7994,1,64612.0,0,20,67.3,1.6
5,2018,11489,1,19665.0,4,145,60.1,1.0
13,2018,15699,1,17500.0,0,150,64.2,1.5
6,2020,19998,1,4000.0,0,145,74.3,1.5
6,2020,19489,1,5000.0,0,145,74.3,1.5
2,2016,9199,1,26445.0,0,30,64.2,1.5
1,2017,10489,1,26445.0,0,20,68.9,1.5
2,2018,11489,1,2922.0,0,145,64.2,1.5
15,2018,29998,0,3000.0,4,145,28.8,2.3
15,2018,31498,0,6250.0,4,145,23.5,5.0
6,2018,11999,1,6691.0,4,145,61.4,1.0
10,2018,15990,0,9486.0,0,145,56.6,1.5
6,2019,16998,0,8703.0,4,145,40.9,1.5
